Time,"CH 1, Ãþ¤ñ¿é¤J"
sec,V
0,-0.145263672
0.0005,-0.030517578
0.001,-0.009155273
0.0015,-0.026550293
0.002,-0.217895508
0.0025,0.006408691
0.003,0.188598633
0.0035,-0.274047852
0.004,-0.372924805
0.0045,-0.033569336
0.005,-0.046386719
0.0055,-0.170288086
0.006,0.054321289
0.0065,-0.061950684
0.007,-0.377807617
0.0075,-0.148010254
0.008,-0.172424316
0.0085,-0.213317871
0.009,-0.180358887
0.0095,-0.039672852
0.01,-0.118713379
0.0105,-0.046691895
0.011,-0.617980957
0.0115,-0.395507813
0.012,-0.231628418
0.0125,-0.139770508
0.013,-0.347900391
0.0135,-0.131835938
0.014,0.180053711
0.0145,-0.256958008
0.015,-0.344238281
0.0155,-0.066833496
0.016,-0.290527344
0.0165,-0.269165039
0.017,-0.108032227
0.0175,-0.079345703
0.018,0.003662109
0.0185,-0.281982422
0.019,-0.414428711
0.0195,-0.253295898
0.02,-0.430908203
0.0205,-0.555114746
0.021,-0.260620117
0.0215,-0.063476563
0.022,0.009765625
0.0225,-0.365600586
0.023,-0.352172852
0.0235,-0.174865723
0.024,-0.290527344
0.0245,-0.182495117
0.025,-0.347290039
0.0255,-0.08972168
0.026,0.036621094
0.0265,-0.27557373
0.027,-0.528259277
0.0275,-0.338439941
0.028,-0.56427002
0.0285,-0.381164551
0.029,-0.057067871
0.0295,-0.066223145
0.03,-0.229492188
0.0305,-0.296020508
0.031,-0.266113281
0.0315,-0.439453125
0.032,-0.297851563
0.0325,-0.134277344
0.033,-0.417480469
0.0335,-0.131835938
0.034,-0.055541992
0.0345,-0.410461426
0.035,-0.287780762
0.0355,-0.194702148
0.036,-0.498046875
0.0365,-0.069885254
0.037,-0.145568848
0.0375,-0.028686523
0.038,-0.172424316
0.0385,-0.243225098
0.039,-0.396118164
0.0395,-0.36529541
0.04,-0.246276855
0.0405,-0.192871094
0.041,-0.344848633
0.0415,-0.137634277
0.042,-0.003356934
0.0425,-0.219726563
0.043,-0.408325195
0.0435,-0.24597168
0.044,-0.47454834
0.0445,0.292053223
0.045,-0.130615234
0.0455,0.01159668
0.046,0.101318359
0.0465,-0.182189941
0.047,-0.504760742
0.0475,-0.233154297
0.048,-0.123596191
0.0485,-0.314025879
0.049,-0.206298828
0.0495,0.040283203
0.05,-0.289611816
0.0505,-0.171508789
0.051,-0.406799316
0.0515,-0.584411621
0.052,-0.25390625
0.0525,-0.177307129
0.053,0.06652832
0.0535,0.045471191
0.054,0.023193359
0.0545,-0.370788574
0.055,-0.31036377
0.0555,-0.043640137
0.056,-0.292358398
0.0565,-0.234375
0.057,-0.092468262
0.0575,-0.024414063
0.058,0.199584961
0.0585,-0.127868652
0.059,-0.285339355
0.0595,-0.046386719
0.06,-0.26184082
0.0605,-0.207824707
0.061,-0.080871582
0.0615,0.203552246
0.062,0.032043457
0.0625,-0.210571289
0.063,-0.030517578
0.0635,0.03112793
0.064,-0.351257324
0.0645,-0.131225586
0.065,-0.059814453
0.0655,-0.216369629
0.066,0.078125
0.0665,-0.287475586
0.067,-0.312805176
0.0675,-0.02166748
0.068,-0.22857666
0.0685,-0.269470215
0.069,0.106811523
0.0695,-0.122070313
0.07,-0.056152344
0.0705,-0.043945313
0.071,-0.017700195
0.0715,-0.200195313
0.072,-0.201416016
0.0725,0.069885254
0.073,-0.192565918
0.0735,-0.007629395
0.074,0.311279297
0.0745,-0.072631836
0.075,-0.134277344
0.0755,-0.006408691
0.076,-0.238037109
0.0765,0.222473145
0.077,0.221557617
0.0775,-0.043640137
0.078,0.03326416
0.0785,-0.061950684
0.079,0.048828125
0.0795,0.003356934
0.08,0.089416504
0.0805,0.230407715
0.081,0.036010742
0.0815,0.230102539
0.082,0.476989746
0.0825,0.054016113
0.083,0.049438477
0.0835,0.20904541
0.084,-0.06439209
0.0845,0.280151367
0.085,0.325622559
0.0855,0.430908203
0.086,-0.151977539
0.0865,0.143127441
0.087,0.149536133
0.0875,0.440673828
0.088,0.448303223
0.0885,0.269165039
0.089,0.358276367
0.0895,0.650024414
0.09,0.52734375
0.0905,0.405578613
0.091,0.549926758
0.0915,0.424194336
0.092,0.365905762
0.0925,0.634765625
0.093,0.64453125
0.0935,0.832824707
0.094,0.721435547
0.0945,0.376281738
0.095,0.465087891
0.0955,0.846862793
0.096,0.404052734
0.0965,0.575561523
0.097,0.745544434
0.0975,0.852966309
0.098,0.858154297
0.0985,0.680847168
0.099,0.686645508
0.0995,0.609436035
0.1,0.600891113
0.1005,0.752868652
0.101,0.888977051
0.1015,0.857849121
0.102,0.912475586
0.1025,1.022644043
0.103,0.762939453
0.1035,0.684509277
0.104,0.583496094
0.1045,0.928649902
0.105,1.047058105
0.1055,0.795898438
0.106,0.992736816
0.1065,0.818786621
0.107,0.674743652
0.1075,0.889892578
0.108,0.811462402
0.1085,0.965881348
0.109,0.980529785
0.1095,0.926818848
0.11,0.928344727
0.1105,0.76965332
0.111,1.161804199
0.1115,0.947875977
0.112,0.449829102
0.1125,0.989379883
0.113,0.915222168
0.1135,1.014404297
0.114,1.246643066
0.1145,0.84197998
0.115,0.885925293
0.1155,1.108703613
0.116,1.055297852
0.1165,1.333312988
0.117,1.065673828
0.1175,1.072998047
0.118,1.155090332
0.1185,0.996398926
0.119,1.008605957
0.1195,1.044616699
0.12,0.810546875
0.1205,0.802001953
0.121,0.83190918
0.1215,1.197814941
0.122,1.407775879
0.1225,0.823669434
0.123,0.979919434
0.1235,1.156921387
0.124,0.731811523
0.1245,1.01776123
0.125,1.120300293
0.1255,0.902099609
0.126,1.102600098
0.1265,1.012573242
0.127,0.85144043
0.1275,1.156311035
0.128,0.612487793
0.1285,0.653076172
0.129,1.209411621
0.1295,1.25
0.13,0.972900391
0.1305,0.747070313
0.131,0.980224609
0.1315,0.96496582
0.132,0.755615234
0.1325,0.983276367
0.133,0.907897949
0.1335,0.931396484
0.134,0.774536133
0.1345,0.867614746
0.135,0.773010254
0.1355,0.940551758
0.136,0.434875488
0.1365,0.693969727
0.137,0.972595215
0.1375,0.733947754
0.138,0.743408203
0.1385,0.606689453
0.139,0.801696777
0.1395,0.614013672
0.14,0.489807129
0.1405,0.734558105
0.141,0.443115234
0.1415,0.903930664
0.142,0.776977539
0.1425,0.565795898
0.143,0.742492676
0.1435,0.63293457
0.144,0.268554688
0.1445,0.617675781
0.145,0.917663574
0.1455,0.906677246
0.146,0.893859863
0.1465,0.650634766
0.147,0.512390137
0.1475,0.547485352
0.148,0.617675781
0.1485,0.55480957
0.149,0.469055176
0.1495,0.816040039
0.15,0.570983887
0.1505,0.598449707
0.151,0.452880859
0.1515,0.61920166
0.152,0.555725098
0.1525,0.587158203
0.153,0.693359375
0.1535,0.96496582
0.154,0.62713623
0.1545,0.430908203
0.155,0.374145508
0.1555,0.598754883
0.156,0.500183105
0.1565,0.325012207
0.157,0.455932617
0.1575,0.679626465
0.158,0.444335938
0.1585,0.400695801
0.159,0.284729004
0.1595,0.218200684
0.16,0.29083252
0.1605,0.25177002
0.161,0.322875977
0.1615,0.773925781
0.162,0.176086426
0.1625,-0.122680664
0.163,-0.012817383
0.1635,0.166931152
0.164,-0.192260742
0.1645,-0.12512207
0.165,0.065612793
0.1655,0.007629395
0.166,-0.108642578
0.1665,-0.074157715
0.167,-0.319519043
0.1675,-0.200805664
0.168,-0.574951172
0.1685,-0.672912598
0.169,-0.276184082
0.1695,-0.320739746
0.17,-0.519714355
0.1705,-0.833129883
0.171,-0.647277832
0.1715,-0.661315918
0.172,-0.836791992
0.1725,-0.788574219
0.173,-0.738830566
0.1735,-0.820007324
0.174,-0.905456543
0.1745,-1.002502441
0.175,-1.150512695
0.1755,-1.277770996
0.176,-1.409606934
0.1765,-1.293029785
0.177,-1.192016602
0.1775,-1.235656738
0.178,-1.519470215
0.1785,-1.734313965
0.179,-1.510925293
0.1795,-1.694335938
0.18,-1.619262695
0.1805,-1.424865723
0.181,-1.751098633
0.1815,-1.602172852
0.182,-1.53137207
0.1825,-1.9140625
0.183,-1.743164063
0.1835,-1.713562012
0.184,-2.069396973
0.1845,-1.91192627
0.185,-1.683654785
0.1855,-2.026672363
0.186,-2.239379883
0.1865,-2.449951172
0.187,-2.139892578
0.1875,-1.84173584
0.188,-1.955871582
0.1885,-1.9921875
0.189,-2.049865723
0.1895,-1.837768555
0.19,-2.005004883
0.1905,-2.315979004
0.191,-2.074279785
0.1915,-2.158813477
0.192,-2.113647461
0.1925,-1.915283203
0.193,-1.88659668
0.1935,-1.923217773
0.194,-1.927490234
0.1945,-2.655944824
0.195,-2.175598145
0.1955,-1.916809082
0.196,-1.81640625
0.1965,-1.971130371
0.197,-1.754150391
0.1975,-1.395874023
0.198,-1.840515137
0.1985,-1.93359375
0.199,-1.584472656
0.1995,-1.888427734
0.2,-1.73248291
0.2005,-1.535339355
0.201,-1.42578125
0.2015,-1.251831055
0.202,-1.295166016
0.2025,-1.960754395
0.203,-1.398925781
0.2035,-1.17767334
0.204,-1.137390137
0.2045,-1.173400879
0.205,-0.919189453
0.2055,-0.83190918
0.206,-1.074523926
0.2065,-0.934448242
0.207,-0.77911377
0.2075,-0.885620117
0.208,-0.853881836
0.2085,-0.473327637
0.209,-0.634155273
0.2095,-0.476074219
0.21,-0.424499512
0.2105,-0.339660645
0.211,-0.270080566
0.2115,0.051574707
0.212,-0.041503906
0.2125,0.101928711
0.213,0.18371582
0.2135,0.03692627
0.214,0.045776367
0.2145,0.247192383
0.215,0.107421875
0.2155,0.338439941
0.216,0.567626953
0.2165,0.373535156
0.217,0.769348145
0.2175,0.73059082
0.218,0.402526855
0.2185,0.65032959
0.219,0.846557617
0.2195,0.849609375
0.22,1.16973877
0.2205,0.849609375
0.221,0.900878906
0.2215,1.24420166
0.222,1.333312988
0.2225,1.243286133
0.223,1.33392334
0.2235,1.288146973
0.224,1.245727539
0.2245,1.169128418
0.225,1.49810791
0.2255,1.508178711
0.226,1.383056641
0.2265,1.253662109
0.227,1.520385742
0.2275,1.725158691
0.228,1.572875977
0.2285,1.489868164
0.229,1.774597168
0.2295,1.982421875
0.23,1.761779785
0.2305,1.509094238
0.231,1.709899902
0.2315,1.826782227
0.232,1.721801758
0.2325,1.723022461
0.233,1.677856445
0.2335,1.74621582
0.234,1.660766602
0.2345,1.632080078
0.235,1.627197266
0.2355,1.731872559
0.236,1.76940918
0.2365,1.423339844
0.237,1.802978516
0.2375,2.158813477
0.238,1.502075195
0.2385,1.596984863
0.239,1.862182617
0.2395,1.530761719
0.24,1.522216797
0.2405,1.651000977
0.241,1.493530273
0.2415,1.553344727
0.242,1.149597168
0.2425,1.011352539
0.243,1.173706055
0.2435,1.118469238
0.244,1.107177734
0.2445,1.204528809
0.245,0.96862793
0.2455,1.00982666
0.246,0.704040527
0.2465,0.765686035
0.247,0.78918457
0.2475,0.295410156
0.248,0.471801758
0.2485,0.634460449
0.249,0.258178711
0.2495,0.420532227
0.25,-0.05065918
0.2505,0.089111328
0.251,0.303955078
0.2515,0
0.252,-0.115661621
