Time,"CH 1, Ãþ¤ñ¿é¤J"
sec,V
0,-0.134277344
0.0005,-0.157165527
0.001,0.261535645
0.0015,-0.029296875
0.002,-0.054626465
0.0025,-0.001220703
0.003,0.217590332
0.0035,0.059814453
0.004,-0.102539063
0.0045,0.022277832
0.005,-0.03692627
0.0055,-0.067138672
0.006,-0.058288574
0.0065,0.049743652
0.007,-0.126953125
0.0075,0.077209473
0.008,0.001220703
0.0085,-0.155944824
0.009,0.098571777
0.0095,0.02746582
0.01,-0.141906738
0.0105,-0.101928711
0.011,0.048828125
0.0115,0.129089355
0.012,-0.118103027
0.0125,-0.278320313
0.013,-0.204162598
0.0135,-0.00579834
0.014,0.106811523
0.0145,-0.131835938
0.015,-0.011291504
0.0155,0.108337402
0.016,-0.093078613
0.0165,-0.007324219
0.017,-0.014343262
0.0175,0.077209473
0.018,-0.043640137
0.0185,-0.089111328
0.019,-0.158691406
0.0195,0.362854004
0.02,0.014953613
0.0205,-0.323791504
0.021,-0.07232666
0.0215,0.084228516
0.022,0.012817383
0.0225,-0.116271973
0.023,-0.007629395
0.0235,0.002441406
0.024,-0.077514648
0.0245,-0.05859375
0.025,-0.18371582
0.0255,0.166320801
0.026,0.094299316
0.0265,-0.110778809
0.027,-0.133666992
0.0275,0.088806152
0.028,0.120239258
0.0285,-0.219116211
0.029,-0.197753906
0.0295,-0.051879883
0.03,-0.127868652
0.0305,-0.026550293
0.031,0.095825195
0.0315,-0.100402832
0.032,-0.036621094
0.0325,0.096435547
0.033,-0.114135742
0.0335,0.06652832
0.034,0.118408203
0.0345,-0.189208984
0.035,0.068664551
0.0355,0.001831055
0.036,0.218200684
0.0365,-0.01739502
0.037,-0.222473145
0.0375,-0.134887695
0.038,0.055847168
0.0385,0.111999512
0.039,-0.108337402
0.0395,-0.118713379
0.04,0.052490234
0.0405,-0.032958984
0.041,-0.077209473
0.0415,-0.105285645
0.042,0.104980469
0.0425,0.041809082
0.043,-0.087585449
0.0435,-0.141296387
0.044,0.208740234
0.0445,0.073547363
0.045,-0.279541016
0.0455,-0.16784668
0.046,0.149536133
0.0465,0.044250488
0.047,-0.154724121
0.0475,0.058288574
0.048,0.032043457
0.0485,-0.061950684
0.049,-0.039978027
0.0495,0.130004883
0.05,0
0.0505,0.147094727
0.051,-0.148620605
0.0515,-0.072631836
0.052,0.080566406
0.0525,0.062561035
0.053,-0.163269043
0.0535,-0.180969238
0.054,0.029296875
0.0545,-0.05859375
0.055,-0.06439209
0.0555,0.061340332
0.056,-0.11505127
0.0565,-0.077209473
0.057,0.100402832
0.0575,-0.137634277
0.058,-0.008239746
0.0585,0.182800293
0.059,-0.143737793
0.0595,-0.058898926
0.06,-0.077819824
0.0605,0.046691895
0.061,0.057373047
0.0615,-0.214233398
0.062,-0.199279785
0.0625,0.274963379
0.063,0.128479004
0.0635,-0.060424805
0.064,-0.085449219
0.0645,0.027770996
0.065,0.061645508
0.0655,-0.08605957
0.066,0.049743652
0.0665,0.047302246
0.067,0.038146973
0.0675,-0.09765625
0.068,-0.133972168
0.0685,0.129699707
0.069,0.122375488
0.0695,-0.192565918
0.07,-0.14465332
0.0705,0.140686035
0.071,0.198059082
0.0715,-0.16418457
0.072,-0.00579834
0.0725,0.082092285
0.073,-0.081481934
0.0735,0.015258789
0.074,0.147094727
0.0745,-0.085144043
0.075,0.327758789
0.0755,0.061035156
0.076,-0.092163086
0.0765,0.171813965
0.077,0.216674805
0.0775,-0.050964355
0.078,-0.030822754
0.0785,0.162658691
0.079,0.401611328
0.0795,0.26550293
0.08,0.411682129
0.0805,0.190734863
0.081,0.29510498
0.0815,0.471496582
0.082,0.323181152
0.0825,0.272827148
0.083,0.542297363
0.0835,0.313110352
0.084,0.450134277
0.0845,0.412902832
0.085,0.550231934
0.0855,0.576477051
0.086,0.355224609
0.0865,0.377807617
0.087,0.87677002
0.0875,0.848388672
0.088,0.603942871
0.0885,0.608825684
0.089,0.763244629
0.0895,0.877380371
0.09,0.650634766
0.0905,0.85144043
0.091,0.892028809
0.0915,1.09954834
0.092,0.901184082
0.0925,0.835266113
0.093,1.101989746
0.0935,1.196594238
0.094,1.008911133
0.0945,0.891113281
0.095,1.301269531
0.0955,1.466064453
0.096,1.070556641
0.0965,1.343994141
0.097,1.485290527
0.0975,1.21673584
0.098,1.318359375
0.0985,1.539001465
0.099,1.438293457
0.0995,1.524963379
0.1,1.497497559
0.1005,1.442260742
0.101,1.739501953
0.1015,1.927490234
0.102,1.660766602
0.1025,1.940002441
0.103,1.782226563
0.1035,2.136230469
0.104,2.049865723
0.1045,2.044372559
0.105,1.9140625
0.1055,1.937255859
0.106,2.236633301
0.1065,2.12097168
0.107,2.143249512
0.1075,2.263183594
0.108,2.321472168
0.1085,2.32421875
0.109,2.22869873
0.1095,2.421264648
0.11,2.546386719
0.1105,2.395629883
0.111,2.29888916
0.1115,2.780151367
0.112,2.88269043
0.1125,2.457885742
0.113,2.583618164
0.1135,2.866821289
0.114,2.920227051
0.1145,2.680053711
0.115,2.777404785
0.1155,2.932739258
0.116,2.790222168
0.1165,2.766723633
0.117,2.775878906
0.1175,2.875366211
0.118,3.24798584
0.1185,2.919921875
0.119,2.991333008
0.1195,3.174133301
0.12,3.394165039
